ns_vehicles,ew_vehicles,time_of_day,is_emergency,optimal_green_ns,optimal_green_ew
38,2,20,0,57,15
28,5,18,0,42,15
14,8,21,0,25,15
42,5,16,0,63,15
7,8,22,0,18,21
20,38,22,0,30,57
38,30,9,0,57,45
18,31,9,0,27,46
22,40,3,0,33,60
10,49,7,0,15,73
10,11,21,0,19,20
23,7,19,0,34,15
35,7,19,0,52,15
39,49,17,0,53,66
23,27,13,0,34,40
2,19,17,0,15,36
21,46,13,0,31,69
1,6,19,0,15,34
23,10,20,0,34,15
43,19,23,0,64,28
29,15,14,0,43,22
37,3,21,0,55,15
1,5,3,0,15,33
20,21,12,0,30,31
32,25,22,0,48,37
11,2,7,0,33,15
21,40,17,0,31,59
43,41,11,0,61,58
24,13,22,0,36,19
48,10,13,0,72,15
26,17,1,0,39,25
41,11,17,0,61,16
27,22,23,0,40,33
15,11,1,0,23,16
14,12,10,0,21,18
46,24,8,0,69,36
43,44,11,0,59,60
2,18,16,0,15,36
36,45,14,0,53,66
6,35,16,0,15,52
20,44,17,0,30,66
8,7,21,0,21,18
38,28,5,0,57,42
17,31,16,0,25,46
3,43,22,0,15,64
24,17,23,0,36,25
13,5,17,0,28,15
49,17,7,0,73,25
8,18,8,0,15,27
25,21,5,0,37,31
1,36,4,0,15,54
19,31,11,0,28,46
27,40,10,0,40,59
46,2,0,0,69,15
6,27,10,0,15,40
43,9,18,0,64,15
7,34,8,0,15,51
46,28,1,0,69,42
34,14,11,0,51,21
13,32,3,0,19,48
16,6,3,0,29,15
35,11,17,0,52,16
49,48,14,0,60,59
39,29,18,0,58,43
3,20,12,0,15,34
1,30,18,0,15,45
5,23,16,0,15,34
41,19,5,0,61,28
3,36,15,0,15,54
28,3,23,0,42,15
17,27,11,0,25,40
25,43,18,0,37,64
43,19,4,0,64,28
33,23,16,0,49,34
9,49,22,0,15,73
35,48,0,0,50,69
13,31,23,0,19,46
30,40,22,0,45,60
47,35,9,0,68,51
14,33,14,0,21,49
7,35,22,0,15,52
13,1,20,0,37,15
22,14,20,0,33,21
39,33,10,0,58,49
20,35,12,0,30,52
15,5,4,1,10,60
44,38,0,0,64,55
17,41,23,0,25,61
46,11,11,0,69,16
23,2,10,0,36,15
25,44,16,0,37,66
24,17,3,0,36,25
44,39,14,0,63,56
40,20,8,0,60,30
28,14,20,0,42,21
14,32,19,0,21,48
44,34,18,0,66,51
0,25,18,0,15,40
24,7,11,0,36,15
6,35,4,0,15,52
8,47,9,0,15,70
23,29,16,0,34,43
0,22,4,1,60,10
43,41,21,0,61,58
7,43,15,0,15,64
23,13,6,0,34,19
10,13,8,0,17,22
16,1,2,0,37,15
7,36,14,0,15,54
34,4,15,0,51,15
34,37,17,0,51,55
32,44,13,0,48,66
4,40,2,1,10,60
41,46,11,0,56,63
38,13,8,0,57,19
40,38,6,0,59,57
27,24,8,0,40,36
6,19,12,0,15,30
8,1,17,0,35,15
7,38,4,0,15,57
11,5,12,0,27,15
